ISO_code,Country_name,LC_ASR_both_sexes
AZE,Azerbaijan,14
MDG,Madagascar,2.5
COM,Comoros,2.3
POL,Poland,36.2
GTM,Guatemala,3.4
THA,Thailand,18.9
UGA,Uganda,2.8
ARM,Armenia,27.8
MRT,Mauritania,2
CZE,Czechia,26.2
ROU,Romania,31.7
IND,India,5.4
CIV,Côted'Ivoire,2.6
BFA,BurkinaFaso,2
BRA,Brazil,14.3
MOZ,Mozambique,1.4
ETH,Ethiopia,3.9
SRB,Serbia,47.3
KOR,"Korea,Republicof",25.5
BLR,Belarus,24.3
NZL,NewZealand,24.8
PYF,FrenchPolynesia,40.4
ZAF,SouthAfrica,18.3
AFG,Afghanistan,8.1
LBR,Liberia,2.8
TCD,Chad,2.1
PNG,PapuaNewGuinea,12.5
GHA,Ghana,3.3
SWE,Sweden,17.7
AUT,Austria,26.8
MDV,Maldives,13.1
CRI,CostaRica,5.4
TLS,Timor-Leste,10.3
HTI,Haiti,7.1
ARE,UnitedArabEmirates,6.6
IRQ,Iraq,12
EGY,Egypt,8
BTN,Bhutan,7.5
MNG,Mongolia,19.5
DOM,DominicanRepublic,13.5
LCA,SaintLucia,10.5
KAZ,Kazakhstan,21.8
VEN,"Venezuela,BolivarianRepublicof",16.2
BRN,BruneiDarussalam,32
NPL,Nepal,10.4
FJI,Fiji,6.5
SVK,Slovakia,31.3
LAO,LaoPeople'sDemocraticRepublic,20
CAN,Canada,28.9
NGA,Nigeria,1.9
GEO,Georgia,20.2
SSD,SouthSudan,2
AGO,Angola,3.1
LUX,Luxembourg,29
ZMB,Zambia,3.3
COL,Colombia,10.5
PHL,Philippines,21.1
GUA,Guam,36.6
TJK,Tajikistan,6.6
TKM,Turkmenistan,9.8
BGD,Bangladesh,9.5
MTQ,"France,Martinique",10.2
CYP,Cyprus,26.6
REU,"France,LaRéunion",24.8
ISL,Iceland,28.8
ITA,Italy,25.3
USA,UnitedStatesofAmerica,33.1
BWA,Botswana,3.5
MAR,Morocco,18.3
GNQ,EquatorialGuinea,2.9
SEN,Senegal,2.6
PRK,"Korea,DemocraticRepublicof",37
BDI,Burundi,3.7
VUT,Vanuatu,8.6
GUF,FrenchGuiana,16.4
SOM,Somalia,3.7
LVA,Latvia,26.4
LKA,SriLanka,6.8
PAN,Panama,6.4
DEU,Germany,31.9
SWZ,Eswatini,3.6
AUS,Australia,25.3
MYS,Malaysia,15.4
COD,"Congo,DemocraticRepublicof",2.2
GNB,Guinea-Bissau,2.4
GUY,Guyana,4.1
TTO,TrinidadandTobago,11.4
IRN,"Iran,IslamicRepublicof",12.6
MKD,NorthMacedonia,32.4
BEL,Belgium,38.3
MEX,Mexico,5.3
DNK,Denmark,36.8
RWA,Rwanda,4.9
JPN,Japan,32.1
UZB,Uzbekistan,8.5
SLB,SolomonIslands,7.3
NAM,Namibia,5.5
EST,Estonia,26.7
SGP,Singapore,26.5
KGZ,Kyrgyzstan,15.4
CMR,Cameroon,3.1
NER,Niger,0.88
GAB,Gabon,3
ESP,Spain,29
DZA,Algeria,11.5
LTU,Lithuania,23.5
YEM,Yemen,5.8
CHN,China,34.8
PER,Peru,7.2
GLP,"France,Guadeloupe",11.3
SYR,SyrianArabRepublic,15.3
BHR,Bahrain,11.7
MLT,Malta,21.5
CUB,Cuba,28.5
QAT,Qatar,9.2
HUN,Hungary,50.1
TUR,Turkey,40
ISR,Israel,20.5
TZA,"Tanzania,UnitedRepublicof",3.3
BIH,BosniaandHerzegovina,37.8
MNE,Montenegro,39.7
SLV,ElSalvador,5
SAU,SaudiArabia,5.1
KEN,Kenya,3.2
MMR,Myanmar,15.7
NCL,"France,NewCaledonia",42.9
FRA,France,34.9
SVN,Slovenia,31.2
LSO,Lesotho,4.2
CAF,CentralAfricanRepublic,2.3
PAK,Pakistan,7
PSE,GazaStripandWestBank,20.8
SUR,Suriname,18
ARG,Argentina,19.2
MWI,Malawi,1.9
COG,"Congo,Republicof",1.8
PRT,Portugal,21.9
GIN,Guinea,2.9
TGO,Togo,1.9
IDN,Indonesia,12.8
UKR,Ukraine,19.4
BRB,Barbados,10.9
MUS,Mauritius,9
BEN,Benin,1.7
RUS,RussianFederation,24
JAM,Jamaica,14.2
URY,Uruguay,30.7
BLZ,Belize,9
OMN,Oman,5.4
ERI,Eritrea,3.1
SLE,SierraLeone,2.3
KWT,Kuwait,8
KHM,Cambodia,14.9
NIC,Nicaragua,5
DJI,Djibouti,3
ZWE,Zimbabwe,5.3
ALB,Albania,21.1
LBY,Libya,16.6
CHL,Chile,12.2
PRY,Paraguay,14
GRC,Greece,34.9
CHE,Switzerland,22.5
BHS,Bahamas,8
MLI,Mali,3.8
HRV,Croatia,34.7
PRI,PuertoRico,9.4
HND,Honduras,5.8
TUN,Tunisia,19.5
IRL,Ireland,34.6
GBR,UnitedKingdom,32.3
BOL,"Bolivia,PlurinationalStateof",7.6
MDA,RepublicofMoldova,24.3
ECU,Ecuador,6
STP,SaoTomeandPrincipe,13.7
JOR,Jordan,15.6
WSM,Samoa,32.9
BGR,Bulgaria,29
NLD,TheNetherlands,33.4
FIN,Finland,19.4
VNM,VietNam,22.8
LBN,Lebanon,18.7
CPV,CaboVerde,10.7
NOR,Norway,27.2
GMB,TheRepublicoftheGambia,5.1
SDN,Sudan,2.5
